publication_date,edition,access,section,item_title,creator,organization,canonical_url,item_type,featured,special_recommendation,reused,reuse_reason,verification_date,notes
2026-09-18,Morning Opportunities,free,free_work,Production Editor - Art Canada Institute,,Art Canada Institute,https://artcanada.com/about/jobs,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_work,Copywriter II - Affirm,,Affirm,https://job-boards.greenhouse.io/affirm/jobs/7984425003,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_work,Senior Copywriter - Reedsy,,Reedsy,https://jobs.ashbyhq.com/reedsy/be792840-f670-40f7-9c69-fc5927bf3df5,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_work,Remote Content Writer - Brafton,,Brafton,https://jobs.lever.co/brafton/24c006c2-c0cd-4b34-8870-2efa5bb10716,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_work,Medical Writer - Alimentiv,,Alimentiv,https://jobs.lever.co/alimentiv-2/5612fa32-ecd9-458b-899c-b21f8a1aef6c,job,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_opportunities,Writers’ Trust Rising Stars,,Writers’ Trust of Canada,https://www.writerstrust.com/programs/rising-stars,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_opportunities,Vermont Studio Center - 2027 Residencies,,Vermont Studio Center,https://vermontstudiocenter.org/apply,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_opportunities,Gold Line Press Nonfiction Chapbook Competition,,Gold Line Press,https://goldlinepress.submittable.com/submit/365296/2026-gold-line-press-nonfiction-chapbook-competition,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_opportunities,Boulevard Nonfiction Contest for Emerging Writers,,Boulevard,https://www.boulevardmagazine.org/nonfiction-contest,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
2026-09-18,Morning Opportunities,free,free_opportunities,Juniper Prize for Creative Nonfiction,,University of Massachusetts Press,https://www.umasspress.com/juniper-prizes/juniper-prize-for-creative-nonfiction/,opportunity,False,False,False,,2026-09-18,Seeded from confirmed September 18 published edition available in project sources.
